TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP
The Ends,Rejjie Snow,2018,76,61,56,-8,82,128.0000000016,34,29
Room 27,Rejjie Snow,2018,76,67,59,-8,36,193.99999996800003,28,33
Désolé,Rejjie Snow,2018,83,57,64,-7,25,234.0,13,37
The Rain,Rejjie Snow,2018,134,43,78,-7,28,240.99999998399997,18,39
Skateboard P Intermission,Rejjie Snow,2018,76,67,74,-11,95,44.0000000064,15,21
LMFAO,Rejjie Snow,2018,120,70,90,-6,88,206.99999999999997,11,30
Bye Polar,Rejjie Snow,2018,117,52,65,-8,61,189.999999936,8,35
Charlie Brown,Rejjie Snow,2018,99,67,67,-6,71,220.999999968,22,37
Annie,Rejjie Snow,2018,124,60,95,-5,45,243.999999936,0,27
Greatness,Rejjie Snow,2018,157,67,60,-9,13,265.000000032,11,28
BOOGIE,BROCKHAMPTON,2017,110,93,60,-3,28,193.000000032,1,61
ZIPPER,BROCKHAMPTON,2017,114,68,84,-4,69,202.000000032,25,61
JOHNNY,BROCKHAMPTON,2017,80,86,61,-5,87,251.99999999999997,44,54
LIQUID,BROCKHAMPTON,2017,140,63,64,-6,53,81.9999999936,42,48
CINEMA 1,BROCKHAMPTON,2017,82,26,50,-17,32,45.9999999936,94,43
STUPID,BROCKHAMPTON,2017,70,49,77,-6,60,216.999999936,12,52
BLEACH,BROCKHAMPTON,2017,156,66,60,-6,72,272.999999952,46,70
ALASKA,BROCKHAMPTON,2017,75,60,72,-7,41,198.999999936,12,51
HOTTIE,BROCKHAMPTON,2017,129,71,86,-6,77,197.00000006400003,16,57
CINEMA 2,BROCKHAMPTON,2017,103,37,42,-17,71,38.9999999952,80,42
SISTER/NATION,BROCKHAMPTON,2017,150,69,38,-7,51,364.999999968,9,52
RENTAL,BROCKHAMPTON,2017,82,45,67,-8,51,213.999999984,19,63
STAINS,BROCKHAMPTON,2017,113,66,64,-7,65,179.000000064,47,51
CINEMA 3,BROCKHAMPTON,2017,121,34,36,-17,39,51.0000000048,91,41
TEAM,BROCKHAMPTON,2017,140,73,31,-7,27,274.000000032,40,51
Sunset,The xx,2012,120,18,84,-16,37,218.99999995200002,56,53
Crystalised,The xx,2009,123,49,77,-12,42,202.000000032,82,63
Plastic 100°C,Sampha,2017,132,36,60,-12,18,315.99999993600005,74,54
Blood on Me,Sampha,2017,104,52,78,-8,61,247.000000032,12,52
Kora Sings,Sampha,2017,136,70,69,-9,78,258.000000048,31,43
(No One Knows Me) Like the Piano,Sampha,2017,129,20,62,-14,18,218.00000001600003,98,60
Take Me Inside,Sampha,2017,78,30,30,-11,29,139.0000000032,85,41
Under,Sampha,2017,115,53,75,-9,46,281.999999952,15,43
Incomplete Kisses,Sampha,2017,127,42,65,-12,27,234.0,47,53
What Shouldn't I Be?,Sampha,2017,86,15,35,-17,40,213.000000048,92,42
Reverse Faults,Sampha,2017,128,43,68,-11,42,252.99999993600002,39,46
Intro,The xx,2009,100,79,61,-9,16,128.0000000016,46,70
No Diggity,Nick Murphy / Chet Faker,2012,80,51,67,-12,50,225.0,59,56
Where We Go,Jelani Aryeh,2017,77,69,55,-5,14,279.0,0,46
Make Love,Daft Punk,2005,133,55,70,-9,98,290.000000016,78,44
Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink,2017,130,61,73,-8,45,177.000000048,13,70
BLOOD.,Kendrick Lamar,2017,157,24,36,-17,49,117.9999999936,14,58
YAH.,Kendrick Lamar,2017,70,70,67,-8,65,159.999999984,58,62
ELEMENT.,Kendrick Lamar,2017,190,71,75,-5,48,209.00000001600003,20,70
FEEL.,Kendrick Lamar,2017,110,80,75,-8,55,215.000000064,14,61
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,2017,111,54,66,-9,42,227.000000016,3,71
PRIDE.,Kendrick Lamar,2017,139,54,67,-7,37,274.999999968,8,63
LUST.,Kendrick Lamar,2017,94,56,68,-9,57,308.000000016,19,62
LOVE. FEAT. ZACARI.,Kendrick Lamar,2017,126,59,80,-7,78,213.000000048,26,76
XXX. FEAT. U2.,Kendrick Lamar,2017,170,62,57,-7,29,254.00000001600003,14,64
FEAR.,Kendrick Lamar,2017,150,48,59,-7,43,461.00000001600006,60,62
GOD.,Kendrick Lamar,2017,133,56,71,-6,21,249.00000004800003,3,61
DUCKWORTH.,Kendrick Lamar,2017,175,73,55,-7,63,249.00000004800003,5,62
Timmy's Prayer,Sampha,2017,139,56,45,-10,22,263.999999952,45,45
Hold On,SBTRKT,2011,132,39,77,-12,44,206.99999999999997,23,55
Edition,Rex Orange County,2017,141,33,86,-10,26,114.99999999840001,81,64
Baby Blue,King Krule,2013,102,33,47,-11,9,216.0,61,52
Provider,Frank Ocean,2017,140,33,65,-12,39,243.00000000000003,74,65
Border Line,King Krule,2013,100,55,64,-8,35,186.00000004799998,52,48
Out Getting Ribs,King Krule,2013,117,40,51,-10,9,256.000000032,62,45
Biking,Frank Ocean,2017,148,46,67,-7,27,278.000000064,68,66
Red Bottom Sky,Yung Lean,2017,120,40,69,-9,33,303.000000048,73,37
GUMMY,BROCKHAMPTON,2017,80,67,69,-6,79,261.0,20,63
QUEER,BROCKHAMPTON,2017,82,63,77,-7,68,227.999999952,15,57
JELLO,BROCKHAMPTON,2017,140,57,92,-7,64,240.000000048,62,53
TEETH,BROCKHAMPTON,2017,79,55,43,-8,50,80.0000000064,80,48
SWAMP,BROCKHAMPTON,2017,141,66,69,-6,40,251.99999999999997,2,53
SCENE,BROCKHAMPTON,2017,146,31,43,-21,86,40.0000000032,94,42
TOKYO,BROCKHAMPTON,2017,140,63,63,-6,54,191.999999952,6,58
JESUS,BROCKHAMPTON,2017,102,37,61,-9,35,80.0000000064,72,47
CHICK,BROCKHAMPTON,2017,150,71,46,-5,59,204.000000048,35,47
JUNKY,BROCKHAMPTON,2017,82,66,64,-5,68,249.00000004800003,32,55
SCENE 2,BROCKHAMPTON,2017,84,42,41,-21,96,29.999999995200003,89,5
FIGHT,BROCKHAMPTON,2017,90,70,66,-7,17,180.999999936,32,48
SWEET,BROCKHAMPTON,2017,92,63,72,-6,72,274.000000032,54,67
GAMBA,BROCKHAMPTON,2017,95,51,65,-8,30,202.000000032,31,51
SUNNY,BROCKHAMPTON,2017,80,66,50,-5,43,171.0,87,48
SUMMER,BROCKHAMPTON,2017,80,55,50,-6,54,204.999999984,85,60
Islander,Wiki,2017,115,71,61,-7,91,117.0,76,28
Mayor,Wiki,2017,95,91,70,-5,69,213.999999984,37,31
Pretty Bull,Wiki,2017,88,82,68,-5,64,207.99999993599997,44,25
Why iii Love The Moon.,Phony Ppl,2015,92,48,71,-8,66,332.000000064,55,62
HEAT,BROCKHAMPTON,2017,78,74,69,-6,41,272.000000016,9,54
GOLD,BROCKHAMPTON,2017,110,65,81,-7,29,265.999999968,7,66
STAR,BROCKHAMPTON,2017,75,39,78,-9,29,161.000000064,15,59
BOYS,BROCKHAMPTON,2017,145,52,80,-9,85,278.000000064,25,49
2PAC,BROCKHAMPTON,2017,78,51,71,-9,71,62.0000000064,50,44
SKIT 1,BROCKHAMPTON,2017,129,56,39,-22,36,18.999999993600003,88,1
FAKE,BROCKHAMPTON,2017,126,44,70,-10,65,276.000000048,1,52
BANK,BROCKHAMPTON,2017,80,66,64,-11,41,195.99999998399997,9,45
SKIT 2,BROCKHAMPTON,2017,156,41,31,-25,18,15.9999999984,87,0
TRIP,BROCKHAMPTON,2017,76,31,78,-13,63,202.999999968,22,47
SWIM,BROCKHAMPTON,2017,93,49,66,-9,50,213.000000048,15,47
BUMP,BROCKHAMPTON,2017,148,70,63,-11,38,157.99999996800003,6,47
CASH,BROCKHAMPTON,2017,75,80,61,-9,40,195.000000048,18,45
SKIT 3,BROCKHAMPTON,2017,115,20,66,-26,83,38.9999999952,77,38
MILK,BROCKHAMPTON,2017,75,45,59,-9,28,294.999999984,4,51
FACE,BROCKHAMPTON,2017,120,70,95,-5,68,258.999999984,59,66
WASTE,BROCKHAMPTON,2017,117,41,42,-11,41,153.999999936,51,57
See You Again,"Tyler, The Creator",2017,79,56,56,-9,62,180.0,37,75
Who Dat Boy,"Tyler, The Creator",2017,115,49,71,-10,14,204.999999984,34,69
911 / Mr. Lonely,"Tyler, The Creator",2017,90,61,48,-7,30,256.000000032,5,70
D.R.U.G.S.,Rejjie Snow,2016,92,73,72,-6,63,200.999999952,20,34
Love$ick (feat. A$AP Rocky),Mura Masa,2017,89,76,67,-5,76,191.999999952,14,8
TOGETHER (feat. AlunaGeorge & GoldLink),KAYTRANADA,2016,112,69,83,-8,81,197.00000006400003,2,36
The Bird,Anderson .Paak,2016,149,65,49,-7,60,218.00000001600003,8,55
YOU'RE THE ONE (feat. Syd),KAYTRANADA,2016,118,39,82,-10,24,227.999999952,3,43
