#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND
44,good day,21 Savage,43455,122,52,97,-6,12,0.1680555556,0,54,5896
45,pad lock,21 Savage,43455,130,55,96,-8,80,0.1326388889,2,57,9410
46,monster,21 Savage,43455,134,61,89,-7,22,0.1618055556,16,73,5777
47,letter 2 my momma,21 Savage,43455,80,61,86,-11,96,0.1354166667,5,57,9225
48,4L,21 Savage,43455,80,41,88,-9,7,0.2,0,62,2907
49,CHANCES,KAYTRANADA,43434,106,53,84,-7,61,0.1513888889,20,46,211
50,CHANCES (INSTRUMENTAL),KAYTRANADA,43434,106,44,95,-8,66,0.1513888889,6,19,1277
51,IT WAS MEANT 2 B,KAYTRANADA,43434,95,58,83,-8,49,0.1666666667,0,27,8586
52,NOTHIN LIKE U (feat. Ty Dolla $ign),KAYTRANADA,43434,105,81,79,-6,77,0.1354166667,6,37,4482
53,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,28856,104,83,70,-7,95,0.1979166667,3,75,4952
54,Paranoid,Post Malone,43217,160,55,61,-6,24,0.1541666667,4,74,6066
55,Spoil My Night (feat. Swae Lee),Post Malone,43217,161,68,67,-3,26,0.1354166667,34,73,3585
56,Rich & Sad,Post Malone,43217,152,59,60,-5,27,0.1430555556,19,74,987
57,Zack And Codeine,Post Malone,43217,138,84,74,-5,29,0.1416666667,14,71,5893
58,Takin' Shots,Post Malone,43217,120,63,77,-6,58,0.1506944444,60,71,1142
59,rockstar (feat. 21 Savage),Post Malone,43217,160,54,59,-6,14,0.1513888889,12,86,7040
60,Over Now,Post Malone,43217,164,76,56,-4,24,0.1715277778,13,73,1426
61,Psycho (feat. Ty Dolla $ign),Post Malone,43217,140,56,74,-8,44,0.1534722222,58,83,8612
62,Better Now,Post Malone,43217,145,56,68,-6,37,0.1604166667,35,86,8498
63,Ball For Me (feat. Nicki Minaj),Post Malone,43217,134,56,79,-4,51,0.1430555556,49,74,6482
64,Otherside,Post Malone,43217,105,66,65,-6,14,0.1583333333,35,70,832
65,Stay,Post Malone,43217,86,47,48,-5,35,0.1416666667,41,76,8126
66,Blame It On Me,Post Malone,43217,122,59,65,-7,32,0.1819444444,14,70,364
67,Same Bitches (feat. G-Eazy & YG),Post Malone,43217,100,77,73,-5,21,0.1472222222,38,72,3769
68,Jonestown (Interlude),Post Malone,43217,78,50,34,-10,25,0.07777777778,75,62,7120
69,92 Explorer,Post Malone,43217,146,74,80,-5,88,0.1465277778,27,73,215
70,Candy Paint,Post Malone,43217,180,65,67,-6,44,0.1583333333,63,79,1425
